trial,fault_type,severity,fault_onset,simplex_success,nosimplex_success,intervention_step,recovery_time,simplex_rmse,nosimplex_rmse,simplex_effort,nosimplex_effort
190,stuck,0.3,38,False,False,38,-1,186.561965476893,186.681644064219,1521000.0,1858013.8275089553
191,stuck,0.3,28,False,False,28,-1,186.29310190894853,186.38804725196215,1521000.0,1720103.3620677753
192,noise,0.6,13,False,False,13,7,186.72656786027127,186.88853891547726,1502881.015760782,2174697.6301786317
193,noise,0.6,21,False,False,21,9,185.84378801771697,186.02462503583408,1436146.0150884045,2219604.8687455347
194,noise,1.0,23,False,False,23,7,186.99585655397718,187.1688608736325,1422554.5016231209,2256466.9258614145
195,stuck,1.0,13,False,False,13,-1,186.31613012253118,186.76997280083123,1521000.0,4057879.37486824
196,stuck,0.3,16,False,False,16,-1,186.72299761934107,186.79233325493635,1521000.0,1604152.121719148
197,stuck,0.3,32,False,False,32,-1,184.87392752802964,185.00308436563193,1521000.0,1846013.944716171
198,noise,1.0,26,False,False,27,13,185.80171048854015,185.94852201810778,1406300.2770539601,2333833.482931933
199,noise,1.0,33,False,False,33,1,186.78448040416848,186.94293809966462,1431594.447353397,2266592.9096297305
200,adversarial,0.6,31,False,False,31,9,185.97747358217623,186.05359474446922,1470300.0,1165078.3958753508
201,adversarial,1.0,23,False,False,23,-1,187.36108332428176,187.343963055463,1521000.0,807311.1350012256
202,stuck,1.0,39,False,False,39,-1,187.31845757031502,187.50883232180823,1521000.0,3031889.645137701
203,noise,0.3,20,False,False,20,-1,185.47097047333114,185.61608647386998,1521000.0,2155908.353007552
204,stuck,1.0,33,False,False,33,-1,185.717598416314,185.94571159117942,1521000.0,3279408.0493797753
205,noise,0.6,19,False,False,19,6,186.46532060756834,186.62843338052897,1461181.521847763,2379096.556440517
206,stuck,1.0,20,False,False,20,-1,186.07760400207013,186.44469431738457,1521000.0,3778653.6355856806
207,noise,0.3,19,False,False,19,-1,184.91181523523946,185.0601534280584,1521000.0,2219478.734335651
208,stuck,1.0,16,False,False,16,-1,186.960380135592,187.36040464723817,1521000.0,3923006.582528609
209,stuck,1.0,40,False,False,40,-1,186.69856373666354,186.87839284171795,1521000.0,2957505.803436731
210,adversarial,1.0,33,False,False,33,-1,186.68741490630032,186.77782184558794,1521000.0,1242859.1002560398
211,stuck,0.6,28,False,False,28,-1,186.51130181537013,186.6886816969825,1521000.0,2496567.575890725
212,adversarial,0.6,27,False,False,27,3,186.52695229358596,186.56901468130874,1444950.0,967267.155205106
213,adversarial,0.6,19,False,False,19,1,186.94180530224463,186.91140297230388,1419600.0,688364.8410601291
214,noise,1.0,35,False,False,35,8,186.78105410118667,186.91463769112408,1402508.0962846018,2120354.1139529576
215,stuck,0.6,30,False,False,30,-1,186.80363179076838,186.9842059022566,1521000.0,2497470.3271667883
216,stuck,1.0,24,False,False,24,-1,186.1857953528714,186.49155389465236,1521000.0,3632677.413957502
217,noise,0.6,16,False,False,16,14,185.91073565629458,186.02726900830595,1485411.8072562465,2168231.4901744206
218,noise,0.3,35,False,False,35,-1,187.43598387702414,187.59606310695506,1521000.0,2245906.966744875
219,adversarial,0.6,31,False,False,31,9,186.5964589651806,186.6629212729877,1470300.0,1139152.6901720047
220,noise,1.0,26,False,False,26,4,185.93093663061944,186.08615522283995,1479017.2632722165,2016835.4901237227
221,stuck,0.3,29,False,False,29,-1,186.52849312853127,186.63622326651276,1521000.0,1758787.2886289246
