time,true_x,true_y,true_z,est_x,est_y,est_z,pos_error_norm,vel_error_norm
59.96999999999664,1710.919379655999,41.20651370389516,8552.293518870873,1712.7976700292008,58.6912531363784,8512.539217727732,43.47008795858849,30.350547674685505
59.979999999996636,1711.6028980827923,41.24391155582071,8554.825271584934,1713.4172794142107,58.75221277953965,8514.774857216295,43.747780314617046,30.36935465394873
59.989999999996634,1712.286606282909,41.28127128127112,8557.357487386213,1714.037384136154,58.81396790617017,8517.010768617942,44.02633745155394,30.388156530813994
59.99999999999663,1712.9705032338557,41.318593328116876,8559.890166595409,1715.3605269730235,58.722600670326976,8521.923516473582,41.833936062899035,29.311292743147398
60.00999999999663,1713.6545879309629,41.35587812383818,8562.423309505164,1715.9866657241928,58.78767827762213,8524.170334025985,42.1022134387949,29.32928569891859
60.01999999999663,1714.33885945334,41.39312603966967,8564.956916396975,1716.6131065585198,58.85354484118212,8526.41748653351,42.37128837810586,29.347793136107335
60.029999999996626,1715.0233168153327,41.430337598310246,8567.490987633337,1717.23980276581,58.920189240656114,8528.66498761749,42.64113035169702,29.365219095319517
60.039999999996624,1715.707958883026,41.46751336643609,8570.02552372543,1717.8667129876392,58.987602597768685,8530.912855742867,42.91170635936356,29.382041307778184
60.04999999999662,1716.3927847646194,41.504653835943934,8572.56052493366,1718.4937914277868,59.055780399386435,8533.161099621038,43.18299419458467,29.399921754148668
60.05999999999662,1717.0777935553344,41.541759417509525,8575.09599152327,1719.120997125774,59.12471268429252,8535.409728183211,43.45497007603038,29.41682062360993
60.06999999999662,1717.7629843365821,41.57883055924992,8577.631923802452,1719.7482907339427,59.19438519662085,8537.658757318803,43.727602785919146,29.43325538118496
60.079999999996616,1718.4483561651818,41.615867613616636,8580.168322069389,1720.3756285702452,59.264774676127345,8539.908198014638,44.000862358916656,29.449615299560783
60.089999999996614,1719.133908120413,41.65287105399141,8582.705186654217,1721.0029709396179,59.335853972814014,8542.158057412964,44.27472157378728,29.465993419165518
