t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r
98.47000000001347,4810.633433282118,81.9427982563491,16910.263363080972,82.22911574411171,1.3446468689961264,56.66602371845851,-2.6371435192488746,-0.3345841347460241,-0.23226050120459707,0.1648504628799934,1.1614266370350455,-6.560383488524147e-16
98.48000000001348,4811.455726676277,81.95624678132046,16910.829038297976,82.22933941586224,1.3448524971356133,56.567521700457604,-2.633503664142281,-0.34474361667437003,-0.23823493337879653,0.16493029079592242,1.1616645676604904,-6.585849340173788e-16
98.49000000001348,4812.278022328133,81.96969735992462,16911.393728483818,82.22956518564595,1.3450578604158632,56.469018584116014,-2.6297845972372724,-0.3548840755301865,-0.2442719854192954,0.16499800167669934,1.1618675737052138,-6.58948731898088e-16
98.50000000001349,4813.100320248021,81.98314999493994,16911.957433603144,82.22979198870048,1.3452635015318495,56.37051193251896,-2.625985073975223,-0.3650044645526709,-0.250373228363606,0.1650478885770116,1.162019330392015,-6.571297424945421e-16
98.51000000001349,4813.922620435238,81.99660468563972,16912.520153624773,82.2300187217895,1.3454690699790781,56.27200216298769,-2.622103843763142,-0.37510366262307304,-0.25654022606165605,0.16507846726489925,1.1621128226208959,-6.498537848803587e-16
98.5200000000135,4814.744922889958,82.01006142333084,16913.081888540833,82.23024547193376,1.3456737691118006,56.17349160599242,-2.6181395750649057,-0.38518061096866085,-0.26277461871090235,0.1650927544093163,1.162156789534237,-6.478528965364582e-16
98.5300000000135,4815.567227617668,82.02352019803395,16913.642638351586,82.2304727710802,1.3458774703108416,56.07498107526872,-2.6140908628684714,-0.39523429360637086,-0.2690781145822081,0.16509309960444338,1.1621578632290268,-6.377916113980952e-16
98.5400000000135,4816.389534618981,82.03698100051196,16914.202403052717,82.23070013129465,1.3460802478005451,55.97647011313392,-2.609956288619114,-0.40526363467486215,-0.2754524276859429,0.1650781241894709,1.1621108979197183,-6.38337308219159e-16
98.55000000001351,4817.21184389546,82.05044382797313,16914.761182622708,82.23092764793218,1.3462827461167008,55.877956999003054,-2.605734429054193,-0.4152674893664494,-0.28189927071190435,0.1650459517295192,1.1620096790985568,-6.407929439139459e-16
98.56000000001352,4818.034155457182,82.06390867970634,16915.31897703928,82.23115617220351,1.3464851733214196,55.77944165716983,-2.601423798181516,-0.4252447418462333,-0.28842041780358074,0.16499805286752411,1.1618593823914865,-6.356088241138402e-16
98.57000000001352,4818.856469305758,82.07737556418063,16915.875786249162,82.23138485750944,1.3466884474276481,55.68092098821235,-2.5970229741022655,-0.435194097667988,-0.2950175685499057,0.16492880146856126,1.161641025819176,-6.365183188156132e-16
98.58000000001353,4819.678785452778,82.09084448244879,16916.43161022958,82.23161470201781,1.3468918268153771,55.58239804203143,-2.592530390460387,-0.4451144052707672,-0.3016925586784249,0.16484482358055716,1.161373115746745,-6.367002177559677e-16
98.59000000001353,4820.501103878633,82.10431541229066,16916.986449002245,82.2318425855129,1.3470929841866226,55.48387726636371,-2.5879444536970055,-0.4550044819171031,-0.30844724894608677,0.16474542652949772,1.161054010984978,-6.381554092788045e-16
98.60000000001354,4821.323424573111,82.11778833812058,16917.540302571066,82.23206944773762,1.3472925829911804,55.38535688192845,-2.5832635508344968,-0.464863122535216,-0.315283531105057,0.1646289012074419,1.1606831386396639,-6.356088241138403e-16
98.61000000001354,4822.145747525275,82.13126323709194,16918.093170957538,82.23229521638478,1.3474898971365328,55.28683864732848,-2.5784859927024977,-0.47468917175061587,-0.3222033792837098,0.16449687382286898,1.1602684882310355,-6.294242601417844e-16
98.62000000001355,4822.968072749334,82.14474010040004,16918.645054163142,82.23252240593841,1.347686330810464,55.18832056039393,-2.5736099963747634,-0.484481516858571,-0.32920884951149554,0.16435253602350813,1.1598174064194247,-6.308794516646212e-16
98.63000000001355,4823.7904002259875,82.1582189126303,16919.195952187947,82.23274766532738,1.3478812230257544,55.089802480371105,-2.5686338626355774,-0.49423883903505184,-0.33630190166305285,0.16418957780865023,1.1593078118929352,-6.225121004083102e-16
98.64000000001356,4824.612729956108,82.17169966479162,16919.745865025536,82.23297301201283,1.3480752161314085,54.991283758857456,-2.563555798301447,-0.5039598857817327,-0.3434845918862257,0.1640107327445955,1.1587498546768085,-6.228758982890194e-16
98.65000000001356,4825.435061939147,82.18518234498454,16920.294792678917,82.2331983039897,1.348268019292569,54.892765338144834,-2.5583739435216133,-0.5136434139363781,-0.3507590351635532,0.1638175872338612,1.1581470931732907,-6.196017173626369e-16
98.66000000001357,4826.257396181567,82.19866694386704,16920.842735144128,82.2334242419748,1.3484598882498262,54.79424652129284,-2.5530863993222073,-0.5232881716032327,-0.35812739375433544,0.16360946230314874,1.1575010412734796,-6.192379194819277e-16
98.67000000001357,4827.0797326678085,82.21215344217738,16921.38969244035,82.23364862416773,1.3486498310347748,54.695729622150594,-2.547691219427068,-0.5328928628188068,-0.3655918508680165,0.16338780060958324,1.1568090495766237,-6.1814652583980015e-16
98.68000000001358,4827.90207138352,82.22564182699783,16921.93566456675,82.23387157109764,1.3488384820452155,54.59721264006901,-2.5421864783221624,-0.5424560991860035,-0.37315457095845006,0.16314936807349825,1.1560626322126344,-6.166913343169634e-16
98.69000000001358,4828.724412336635,82.2391320953847,16922.480651511272,82.23409531158585,1.3490268386875757,54.49869445218732,-2.5365701536144396,-0.5519765336176239,-0.3808178035861849,0.16289749186259705,1.155269470699315,-6.196017173626368e-16
98.70000000001359,4829.54675550945,82.25262422991038,16923.02465328554,82.23431728144605,1.349213452567543,54.40017742676271,-2.530840209581889,-0.5614527728299148,-0.38858381571550793,0.16263057136011416,1.1544267835413606,-6.217845046468918e-16
98.7100000000136,4830.369100904033,82.26611822512731,16923.567669870456,82.23453945829297,1.3493995216937866,54.30165849145407,-2.5249946161527057,-0.5708833735943663,-0.3964548864953632,0.16234549196154127,1.153531326637456,-6.145085470327083e-16
98.7200000000136,4831.1914485224215,82.2796140747406,16924.10970125688,82.23476183880695,1.3495849613286435,54.20313864237985,-2.5190312566148574,-0.5802669061871385,-0.4044333594093792,0.16204563246112613,1.1525876636704357,-6.166913343169633e-16
98.7300000000136,4832.013798352245,82.29311176730917,16924.65074744755,82.23498298241287,1.349769256855859,54.104619067219254,-2.51294797885195,-0.5896018974601271,-0.4125215953979302,0.16173177569718286,1.151593498605308,-6.152361427941266e-16
98.74000000001361,4832.836150376583,82.30661128336659,16925.19080844788,82.23520243373423,1.3499516057424468,54.006100032838766,-2.5067426393589063,-0.5988868574704541,-0.4207219942414253,0.16139920611911993,1.150549842506504,-6.20329313124055e-16
98.75000000001361,4833.658504582641,82.32011260720064,16925.72988426583,82.23542060586946,1.3501323834046306,53.907581795184164,-2.500413008204668,-0.6081202972305985,-0.4290370105821941,0.16105182429494963,1.1494600027530086,-6.196017173626367e-16
98.76000000001362,4834.480860966387,82.33361572719423,16926.267974898346,82.2356383745383,1.3503119993592267,53.80906325153247,-2.493956835988257,-0.6173006979303126,-0.4374691271214084,0.16068835793908826,1.1483235812475117,-6.188741216012183e-16
